mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	placement	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
9	9	0	0	2/2	3	1	I{	0	-2.9842	-999	/	above	G	I		I	I						{	M	0	0	1, 5, 2		1.0	1.0	0	5	0.0	0.0	2.0	0.0
9	9	1/2	1/2	2/2	3	1	V6	-0.631579	-3.11052	-999	/	above	G	I		V6	V		6					M	0	0	6, 3, 2		2.0	6.0	5	6	0.45454545454545453	1.75	2.25	0.4375
10	10	1/2	1/2	2/2	2	1	V(4)	0	-3.11052	-999	/		G	I		V(4)	V			4				M	0	0	2, 1, 3		2.0	2.0						
10	10	0	0	2/2	3	1	vi7					above	G	I		vi7	vi		7					mm7	0	0	4, 1, 5, 2		4.0	4.0	0	4	0.0	0.0	1.625	0.0
10	10	1/4	1/4	2/2	2	1	V65/V						G	I		V65/V	V		65		V			Mm7	0	0	7, 4, 1, 3		3.0	7.0	4	3	0.5714285714285714	1.75	0.625	0.7368421052631579
11	11	0	0	2/2	2	1	I						G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.5	0.0
11	11	1/4	1/4	2/2	2	1	vi6						G	I		vi6	vi		6					m	0	0	1, 5, 4		4.0	1.0	0	2	0.0	0.0	0.75	0.0
11	11	1/2	1/2	2/2	2	1	V7						G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2.0	2.0	1	2	0.3333333333333333	0.25	0.5	0.3333333333333333
11	11	3/4	3/4	2/2	2	1	I						G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	1	3	0.25	0.25	0.75	0.25
12	12	0	0	2/2	3	1	V(4)						G	I		V(4)	V			4				M	0	0	2, 1, 3		2.0	2.0	1	3	0.25	0.5	0.75	0.4
12	12	1/4	1/4	2/2	3	1	V						G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	1	2	0.3333333333333333	0.25	0.5	0.3333333333333333
12	12	1/2	1/2	2/2	3	1	I|PAC}						G	I		I	I					PAC	}	M	0	0	1, 5, 2		1.0	1.0	0	5	0.0	0.0	2.25	0.0
13	13	1/4	1/4	2/2	3	1	I.I6						G	I		I6	I		6					M	0	0	5, 2, 1		1.0	5.0	0	4	0.0	0.0	1.0	0.0
13	13	1/2	1/2	2/2	3	1	IV						G	I		IV	IV							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	1.25	0.0
13	13	3/4	3/4	2/2	3	1	I6						G	I		I6	I		6					M	0	0	5, 2, 1		1.0	5.0	1	3	0.25	0.25	0.75	0.25
14	14	1/4	1/4	2/2	3	1	I6						G	I		I6	I		6					M	0	0	5, 2, 1		1.0	5.0	0	4	0.0	0.0	1.0	0.0
14	14	1/2	1/2	2/2	3	1	IV						G	I		IV	IV							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	1.25	0.0
14	14	3/4	3/4	2/2	3	1	I6						G	I		I6	I		6					M	0	0	5, 2, 1		1.0	5.0	0	4	0.0	0.0	1.0	0.0
15	15	1/4	1/4	2/2	3	1	I6						G	I		I6	I		6					M	0	0	5, 2, 1		1.0	5.0	0	4	0.0	0.0	1.0	0.0
15	15	1/2	1/2	2/2	3	1	IV						G	I		IV	IV							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	1.25	0.0
15	15	3/4	3/4	2/2	3	1	I6						G	I		I6	I		6					M	0	0	5, 2, 1		1.0	5.0	0	3	0.0	0.0	0.75	0.0
16	16	0	0	2/2	3	1	ii						G	I		ii	ii							m	0	0	3, 0, 4		3.0	3.0	0	3	0.0	0.0	1.25	0.0
16	16	1/4	1/4	2/2	3	1	ii2						G	I		ii2	ii		2					mm7	0	0	1, 3, 0, 4		3.0	1.0	0	3	0.0	0.0	0.75	0.0
16	16	1/2	1/2	2/2	3	1	V65						G	I		V65	V		65					Mm7	0	0	6, 3, 0, 2		2.0	6.0	0	3	0.0	0.0	0.75	0.0
16	16	3/4	3/4	2/2	3	1	I						G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
17	17	0	0	2/2	2	1	IV(9)						G	I		IV(9)	IV			9				M	0	0	0, 4, 1	2	0.0	0.0	0	4	0.0	0.0	1.5	0.0
17	17	1/4	1/4	2/2	2	1	IV						G	I		IV	IV							M	0	0	0, 4, 1		0.0	0.0	1	1	0.5	0.25	0.5	0.3333333333333333
17	17	1/2	1/2	2/2	2	1	V7						G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2.0	2.0	0	3	0.0	0.0	0.75	0.0
17	17	3/4	3/4	2/2	2	1	I						G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
18	18	0	0	2/2	3	1	V(4)						G	I		V(4)	V			4				M	0	0	2, 1, 3		2.0	2.0	0	4	0.0	0.0	1.25	0.0
18	18	1/4	1/4	2/2	3	1	V						G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.75	0.0
18	18	1/2	1/2	2/2	3	1	I|PAC}						G	I		I	I					PAC	}	M	0	0	1, 5, 2		1.0	1.0	0	5	0.0	0.0	2.25	0.0
19	19	1/4	1/4	2/2	3	1	I6						G	I		I6	I		6					M	0	0	5, 2, 1		1.0	5.0	0	4	0.0	0.0	1.0	0.0
19	19	1/2	1/2	2/2	3	1	IV						G	I		IV	IV							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	1.25	0.0
19	19	3/4	3/4	2/2	3	1	I6						G	I		I6	I		6					M	0	0	5, 2, 1		1.0	5.0	1	3	0.25	0.25	0.75	0.25
20	20	1/4	1/4	2/2	3	1	I6						G	I		I6	I		6					M	0	0	5, 2, 1		1.0	5.0	0	4	0.0	0.0	1.0	0.0
20	20	1/2	1/2	2/2	3	1	IV						G	I		IV	IV							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	1.25	0.0
20	20	3/4	3/4	2/2	3	1	I6						G	I		I6	I		6					M	0	0	5, 2, 1		1.0	5.0	0	4	0.0	0.0	1.0	0.0
21	21	1/4	1/4	2/2	3	1	I6						G	I		I6	I		6					M	0	0	5, 2, 1		1.0	5.0	0	4	0.0	0.0	1.0	0.0
21	21	1/2	1/2	2/2	3	1	IV						G	I		IV	IV							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	1.25	0.0
21	21	3/4	3/4	2/2	3	1	I6						G	I		I6	I		6					M	0	0	5, 2, 1		1.0	5.0	0	3	0.0	0.0	0.75	0.0
22	22	0	0	2/2	3	1	ii						G	I		ii	ii							m	0	0	3, 0, 4		3.0	3.0	0	3	0.0	0.0	1.25	0.0
22	22	1/4	1/4	2/2	3	1	ii2						G	I		ii2	ii		2					mm7	0	0	1, 3, 0, 4		3.0	1.0	0	3	0.0	0.0	0.75	0.0
22	22	1/2	1/2	2/2	3	1	V65						G	I		V65	V		65					Mm7	0	0	6, 3, 0, 2		2.0	6.0	0	3	0.0	0.0	0.75	0.0
22	22	3/4	3/4	2/2	3	1	I						G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
23	23	0	0	2/2	2	1	IV(9)						G	I		IV(9)	IV			9				M	0	0	0, 4, 1	2	0.0	0.0	0	4	0.0	0.0	1.5	0.0
23	23	1/4	1/4	2/2	2	1	ii6						G	I		ii6	ii		6					m	0	0	0, 4, 3		3.0	0.0	0	2	0.0	0.0	0.75	0.0
23	23	1/2	1/2	2/2	2	1	V7						G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2.0	2.0	0	3	0.0	0.0	0.75	0.0
23	23	3/4	3/4	2/2	2	1	I						G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
24	24	0	0	2/2	3	1	V(4)						G	I		V(4)	V			4				M	0	0	2, 1, 3		2.0	2.0	0	4	0.0	0.0	1.25	0.0
24	24	1/4	1/4	2/2	3	1	V						G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	4	3	0.5714285714285714	2.0	0.75	0.7272727272727273
25	25	0	0	2/2	3	1	vi.i6{						G	vi		i6	i		6				{	m	0	1	1, 5, 4		4.0	1.0	0	3	0.0	0.0	0.75	0.0
25	25	1/4	1/4	2/2	3	1	iv						G	vi		iv	iv							m	0	1	3, 0, 4		3.0	3.0	0	3	0.0	0.0	0.75	0.0
25	25	1/2	1/2	2/2	3	1	V						G	vi		V	V							M	0	1	5, 9, 6		5.0	5.0	0	4	0.0	0.0	1.0	0.0
25	25	3/4	3/4	2/2	3	1	i						G	vi		i	i							m	0	1	4, 1, 5		4.0	4.0	0	4	0.0	0.0	1.0	0.0
26	26	0	0	2/2	3	1	i6						G	vi		i6	i		6					m	0	1	1, 5, 4		4.0	1.0	0	3	0.0	0.0	0.75	0.0
26	26	1/4	1/4	2/2	3	1	iv						G	vi		iv	iv							m	0	1	3, 0, 4		3.0	3.0	0	3	0.0	0.0	0.75	0.0
26	26	1/2	1/2	2/2	3	1	V						G	vi		V	V							M	0	1	5, 9, 6		5.0	5.0	0	4	0.0	0.0	1.0	0.0
26	26	3/4	3/4	2/2	3	1	i						G	vi		i	i							m	0	1	4, 1, 5		4.0	4.0	0	4	0.0	0.0	1.0	0.0
27	27	0	0	2/2	3	1	V.I6						G	V		I6	I		6					M	0	0	6, 3, 2		2.0	6.0	0	3	0.0	0.0	0.75	0.0
27	27	1/4	1/4	2/2	3	1	IV						G	V		IV	IV							M	0	0	1, 5, 2		1.0	1.0	0	3	0.0	0.0	0.75	0.0
27	27	1/2	1/2	2/2	3	1	V						G	V		V	V							M	0	0	3, 7, 4		3.0	3.0	0	4	0.0	0.0	1.0	0.0
27	27	3/4	3/4	2/2	3	1	I						G	V		I	I							M	0	0	2, 6, 3		2.0	2.0	0	4	0.0	0.0	1.0	0.0
28	28	0	0	2/2	3	1	V6						G	V		V6	V		6					M	0	0	7, 4, 3		3.0	7.0	2	1	0.6666666666666666	0.5	0.25	0.6666666666666666
28	28	1/4	1/4	2/2	3	1	IV						G	V		IV	IV							M	0	0	1, 5, 2		1.0	1.0	0	3	0.0	0.0	0.75	0.0
28	28	1/2	1/2	2/2	3	1	V						G	V		V	V							M	0	0	3, 7, 4		3.0	3.0	0	4	0.0	0.0	1.0	0.0
28	28	3/4	3/4	2/2	3	1	I						G	V		I	I							M	0	0	2, 6, 3		2.0	2.0	0	4	0.0	0.0	1.0	0.0
29	29	0	0	2/2	3	1	iii.i6						G	iii		i6	i		6					m	0	1	2, 6, 5		5.0	2.0	0	7	0.0	0.0	1.75	0.0
29	29	1/2	1/2	2/2	3	1	iv						G	iii		iv	iv							m	0	1	4, 1, 5		4.0	4.0	0	6	0.0	0.0	2.0	0.0
30	30	0	0	2/2	3	1	V						G	iii		V	V							M	0	1	6, 10, 7		6.0	6.0	0	6	0.0	0.0	2.0	0.0
30	30	1/2	1/2	2/2	3	1	vi						G	iii		vi	vi							m	0	1	1, -2, 2		1.0	1.0	11	7	0.6111111111111112	2.875	2.625	0.5227272727272727
31	31	3/4	3/4	2/2	2	1	i						G	iii		i	i							m	0	1	5, 2, 6		5.0	5.0						
31	31	0	0	2/2	3	1	i6						G	iii		i6	i		6					m	0	1	2, 6, 5		5.0	2.0	2	6	0.25	0.25	1.75	0.125
31	31	1/2	1/2	2/2	2	1	viio6						G	iii		viio6	vii	o	6					o	0	1	0, -3, 3		3.0	0.0	6	0	1.0	2.0	0.0	1.0
32	32	0	0	2/2	2	1	V(4)						G	iii		V(4)	V			4				M	0	1	6, 5, 7		6.0	6.0	0	4	0.0	0.0	1.75	0.0
32	32	1/4	1/4	2/2	2	1	V						G	iii		V	V							M	0	1	6, 10, 7		6.0	6.0	0	1	0.0	0.0	0.25	0.0
32	32	1/2	1/2	2/2	2	1	i|PAC}						G	iii		i	i					PAC	}	m	0	1	5, 2, 6		5.0	5.0	0	4	0.0	0.0	2.0	0.0
33	33	0	0	2/2	3	1	ii.ii{						G	ii		ii	ii						{	m	0	1	5, 2, 6		5.0	5.0	0	4	0.0	0.0	1.5	0.0
33	33	1/4	1/4	2/2	3	1	ii2						G	ii		ii2	ii		2					mm7	0	1	3, 5, 2, 6		5.0	3.0	0	3	0.0	0.0	0.75	0.0
33	33	1/2	1/2	2/2	3	1	V65						G	ii		V65	V		65					Mm7	0	1	8, 5, 2, 4		4.0	8.0	0	3	0.0	0.0	0.75	0.0
33	33	3/4	3/4	2/2	3	1	i						G	ii		i	i							m	0	1	3, 0, 4		3.0	3.0	0	4	0.0	0.0	1.0	0.0
34	34	0	0	2/2	3	1	V2(64)						G	ii		V2(64)	V		2	64				Mm7	0	1	2, 4, 3, 0		4.0	2.0	0	4	0.0	0.0	1.0	0.0
34	34	1/4	1/4	2/2	3	1	V						G	ii		V	V							M	0	1	4, 8, 5		4.0	4.0	0	4	0.0	0.0	1.0	0.0
34	34	1/2	1/2	2/2	3	1	i|PAC}						G	ii		i	i					PAC	}	m	0	1	3, 0, 4		3.0	3.0	0	5	0.0	0.0	2.0	0.0
35	35	0	0	2/2	3	1	I.ii{						G	I		ii	ii						{	m	0	0	3, 0, 4		3.0	3.0	0	4	0.0	0.0	1.5	0.0
35	35	1/4	1/4	2/2	3	1	ii2						G	I		ii2	ii		2					mm7	0	0	1, 3, 0, 4		3.0	1.0	0	3	0.0	0.0	0.75	0.0
35	35	1/2	1/2	2/2	3	1	V65						G	I		V65	V		65					Mm7	0	0	6, 3, 0, 2		2.0	6.0	0	3	0.0	0.0	0.75	0.0
35	35	3/4	3/4	2/2	3	1	I						G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
36	36	0	0	2/2	3	1	ii6						G	I		ii6	ii		6					m	0	0	0, 4, 3		3.0	0.0	1	5	0.16666666666666666	0.125	1.875	0.0625
36	36	1/2	1/2	2/2	3	1	V						G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	0	6	0.0	0.0	2.75	0.0
37	37	1/4	1/4	2/2	3	1	V						G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.75	0.0
37	37	1/2	1/2	2/2	3	1	vi7						G	I		vi7	vi		7					mm7	0	0	4, 1, 5, 2		4.0	4.0	4	7	0.36363636363636365	1.5	3.0	0.3333333333333333
38	38	3/4	3/4	2/2	2	1	I						G	I		I	I							M	0	0	1, 5, 2		1.0	1.0						
38	38	1/4	1/4	2/2	3	1	V65						G	I		V65	V		65					Mm7	0	0	6, 3, 0, 2		2.0	6.0	0	3	0.0	0.0	0.75	0.0
38	38	1/2	1/2	2/2	2	1	I(4)						G	I		I(4)	I			4				M	0	0	1, 0, 2		1.0	1.0	1	4	0.2	0.25	1.5	0.14285714285714285
39	39	0	0	2/2	2	1	IV(9)						G	I		IV(9)	IV			9				M	0	0	0, 4, 1	2	0.0	0.0	0	4	0.0	0.0	1.5	0.0
39	39	1/4	1/4	2/2	2	1	ii6						G	I		ii6	ii		6					m	0	0	0, 4, 3		3.0	0.0	0	2	0.0	0.0	0.75	0.0
39	39	1/2	1/2	2/2	2	1	V7						G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2.0	2.0	0	3	0.0	0.0	0.75	0.0
39	39	3/4	3/4	2/2	2	1	I						G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
40	40	0	0	2/2	3	1	V(4)						G	I		V(4)	V			4				M	0	0	2, 1, 3		2.0	2.0	0	4	0.0	0.0	1.25	0.0
40	40	1/4	1/4	2/2	3	1	V						G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.75	0.0
40	40	1/2	1/2	2/2	3	1	I|PAC}						G	I		I	I					PAC	}	M	0	0	1, 5, 2		1.0	1.0	1	5	0.16666666666666666	0.25	2.25	0.1
41	41	1/4	1/4	2/2	3	1	V6						G	I		V6	V		6					M	0	0	6, 3, 2		2.0	6.0	0	3	0.0	0.0	0.75	0.0
41	41	1/2	1/2	2/2	3	1	IV6						G	I		IV6	IV		6					M	0	0	4, 1, 0		0.0	4.0	1	4	0.2	0.5	1.75	0.2222222222222222
42	42	1/4	1/4	2/2	3	1	vi6						G	I		vi6	vi		6					m	0	0	1, 5, 4		4.0	1.0	3	0	1.0	0.75	0.0	1.0
42	42	1/2	1/2	2/2	3	1	ii6						G	I		ii6	ii		6					m	0	0	0, 4, 3		3.0	0.0	1	4	0.2	0.25	1.75	0.125
43	43	1/4	1/4	2/2	3	1	IV						G	I		IV	IV							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	1.25	0.0
43	43	1/2	1/2	2/2	3	1	V7						G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2.0	2.0	0	3	0.0	0.0	0.75	0.0
43	43	3/4	3/4	2/2	3	1	I						G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	1	7	0.125	0.5	1.75	0.2222222222222222
44	44	1/4	1/4	2/2	3	1	V						G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.75	0.0
44	44	1/2	1/2	2/2	3	1	I						G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.75	0.0
44	44	3/4	3/4	2/2	1	1	vi						G	I		vi	vi							m	0	0	4, 1, 5		4.0	4.0						
44	44	0	0	2/2	3	1	V(4)						G	I		V(4)	V			4				M	0	0	2, 1, 3		2.0	2.0	2	11	0.15384615384615385	0.5	4.0	0.1111111111111111
45	45	1/4	1/4	2/2	3	1	V6						G	I		V6	V		6					M	0	0	6, 3, 2		2.0	6.0	0	3	0.0	0.0	0.75	0.0
45	45	1/2	1/2	2/2	3	1	vi6						G	I		vi6	vi		6					m	0	0	1, 5, 4		4.0	1.0	1	4	0.2	0.25	2.0	0.1111111111111111
46	46	1/4	1/4	2/2	3	1	vi6						G	I		vi6	vi		6					m	0	0	1, 5, 4		4.0	1.0	3	0	1.0	0.75	0.0	1.0
46	46	1/2	1/2	2/2	3	1	ii6						G	I		ii6	ii		6					m	0	0	0, 4, 3		3.0	0.0	1	4	0.2	0.25	1.75	0.125
47	47	1/4	1/4	2/2	3	1	IV						G	I		IV	IV							M	0	0	0, 4, 1		0.0	0.0	0	4	0.0	0.0	1.25	0.0
47	47	1/2	1/2	2/2	3	1	V7						G	I		V7	V		7					Mm7	0	0	2, 6, 3, 0		2.0	2.0	0	3	0.0	0.0	0.75	0.0
47	47	3/4	3/4	2/2	3	1	I						G	I		I	I							M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	1.0	0.0
48	48	0	0	2/2	3	1	V(4)						G	I		V(4)	V			4				M	0	0	2, 1, 3		2.0	2.0	0	4	0.0	0.0	1.25	0.0
48	48	1/4	1/4	2/2	3	1	V						G	I		V	V							M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.75	0.0
48	48	1/2	1/2	2/2	3	1	I|PAC}						G	I		I	I					PAC	}	M	0	0	1, 5, 2		1.0	1.0	0	4	0.0	0.0	2.0	0.0
