mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	placement	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
7	7	0	0	4/4	4	1	V|HC}	-0.08	8.34	/	below		d	i		V	V					HC	}	M	1	1	3, 7, 4		3.0	3.0	2	7	0.2222222222222222	0.25	2.625	0.08695652173913043
7	7	3/4	3/4	4/4	4	1	V6	-0.08	8.34	/	below		d	i		V6	V		6					M	1	1	7, 4, 3		3.0	7.0	1	5	0.16666666666666666	0.125	0.75	0.14285714285714285
8	8	0	0	4/4	4	1	i(9)	-0.08	8.34	/	below		d	i		i(9)	i			9				m	1	1	2, -1, 3	4	2.0	2.0	0	6	0.0	0.0	1.125	0.0
8	8	1/4	1/4	4/4	4	1	i6	-0.08	8.34	/	below		d	i		i6	i		6					m	1	1	-1, 3, 2		2.0	-1.0	2	4	0.3333333333333333	0.25	0.875	0.2222222222222222
8	8	1/2	1/2	4/4	4	1	v(4)	-0.08	8.34	/	below		d	i		v(4)	v			4				m	1	1	3, 2, 4		3.0	3.0	0	4	0.0	0.0	1.0	0.0
8	8	3/4	3/4	4/4	4	1	v	-0.08	8.34	/	below		d	i		v	v							m	1	1	3, 0, 4		3.0	3.0	0	4	0.0	0.0	0.75	0.0
9	9	0	0	4/4	4	1	IVM65/III	-0.08	8.34	/	below		d	i		IVM65/III	IV	M	65		III			MM7	1	1	2, -1, 3, -2		-2.0	2.0	1	7	0.125	0.0625	1.0625	0.05555555555555555
9	9	1/4	1/4	4/4	4	1	V65/III	-0.08	8.34	/	below		d	i		V65/III	V		65		III			Mm7	1	1	4, 1, -2, 0		0.0	4.0	0	7	0.0	0.0	1.0	0.0
9	9	1/2	1/2	4/4	4	1	I(9)/III	-0.08	8.34	/	below		d	i		I(9)/III	I			9	III			M	1	1	-1, 3, 0	1	-1.0	-1.0	1	6	0.14285714285714285	0.0625	0.8125	0.07142857142857142
9	9	3/4	3/4	4/4	4	1	I6/III	-0.08	8.34	/	below		d	i		I6/III	I		6		III			M	1	1	3, 0, -1		-1.0	3.0	0	6	0.0	0.0	1.0	0.0
10	10	0	0	4/4	4	1	IV65	-0.08	8.34	/	below		d	i		IV65	IV		65					Mm7	1	1	5, 2, -1, 1		1.0	5.0	1	7	0.125	0.0625	1.0625	0.05555555555555555
10	10	1/4	1/4	4/4	4	1	V65	-0.08	8.34	/	below		d	i		V65	V		65					Mm7	1	1	7, 4, 1, 3		3.0	7.0	0	7	0.0	0.0	1.0	0.0
10	10	1/2	1/2	4/4	4	1	i(9)	-0.08	8.34	/	below		d	i		i(9)	i			9				m	1	1	2, -1, 3	4	2.0	2.0	0	5	0.0	0.0	1.125	0.0
10	10	3/4	3/4	4/4	4	1	i	-0.08	8.34	/	below		d	i		i	i							m	1	1	2, -1, 3		2.0	2.0	0	5	0.0	0.0	0.75	0.0
11	11	0	0	4/4	4	1	v.V7	-0.08	8.34	/	below		d	v		V7	V		7					Mm7	1	1	4, 8, 5, 2		4.0	4.0	0	7	0.0	0.0	1.0	0.0
11	11	1/4	1/4	4/4	4	1	VI	-0.08	8.34	/	below		d	v		VI	VI							M	1	1	-1, 3, 0		-1.0	-1.0	0	4	0.0	0.0	1.0	0.0
11	11	3/8	3/8	4/4	4	1	i6	-0.08	8.34	/	below		d	v		i6	i		6					m	1	1	0, 4, 3		3.0	0.0	0	2	0.0	0.0	0.25	0.0
11	11	1/2	1/2	4/4	4	1	ii%65	-0.08	8.34	/	below		d	v		ii%65	ii	%	65					%7	1	1	2, -1, 3, 5		5.0	2.0	0	3	0.0	0.0	0.75	0.0
11	11	5/8	5/8	4/4	4	1	ii%7	0.12	8.34	/	below		d	v		ii%7	ii	%	7					%7	1	1	5, 2, -1, 3		5.0	5.0	0	2	0.0	0.0	0.25	0.0
11	11	3/4	3/4	4/4	4	1	V(4)	-0.08	8.34	/	below		d	v		V(4)	V			4				M	1	1	4, 3, 5		4.0	4.0	0	3	0.0	0.0	0.4375	0.0
11	11	7/8	7/8	4/4	4	1	V	-0.08	8.34	/	below		d	v		V	V							M	1	1	4, 8, 5		4.0	4.0	0	3	0.0	0.0	0.3125	0.0
12	12	0	0	4/4	4	1	i|PAC}	-0.08	8.34	/	below		d	v		i	i					PAC	}	m	1	1	3, 0, 4		3.0	3.0	0	7	0.0	0.0	1.75	0.0
12	12	1/2	1/2	4/4	4	1	III.IV(9)	-0.08	8.34	/	below		d	III		IV(9)	IV			9				M	1	0	-2, 2, -1	0	-2.0	-2.0	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
12	12	3/4	3/4	4/4	4	1	IV6	-0.08	8.34	/	below		d	III		IV6	IV		6					M	1	0	2, -1, -2		-2.0	2.0	0	6	0.0	0.0	1.0	0.0
13	13	0	0	4/4	4	1	V(4)	-0.08	8.34	/	below		d	III		V(4)	V			4				M	1	0	0, -1, 1		0.0	0.0	1	4	0.2	0.125	0.875	0.125
13	13	1/4	1/4	4/4	4	1	V	-0.08	8.34	/	below		d	III		V	V							M	1	0	0, 4, 1		0.0	0.0	1	4	0.2	0.125	0.875	0.125
13	13	1/2	1/2	4/4	4	1	I	-0.08	8.34	/	below		d	III		I	I							M	1	0	-1, 3, 0		-1.0	-1.0	3	4	0.42857142857142855	0.375	0.75	0.3333333333333333
13	13	3/4	3/4	4/4	4	1	I6	-0.08	8.34	/	below		d	III		I6	I		6					M	1	0	3, 0, -1		-1.0	3.0	1	5	0.16666666666666666	0.125	0.75	0.14285714285714285
14	14	0	0	4/4	4	1	IV(9)	-0.08	8.34	/	below		d	III		IV(9)	IV			9				M	1	0	-2, 2, -1	0	-2.0	-2.0	0	6	0.0	0.0	1.25	0.0
14	14	1/4	1/4	4/4	4	1	IV	-0.08	8.34	/	below		d	III		IV	IV							M	1	0	-2, 2, -1		-2.0	-2.0	0	2	0.0	0.0	0.5	0.0
14	14	3/8	3/8	4/4	4	1	ii6	-0.08	8.34	/	below		d	III		ii6	ii		6					m	1	0	-2, 2, 1		1.0	-2.0	0	3	0.0	0.0	0.375	0.0
14	14	1/2	1/2	4/4	4	1	V7	-0.08	8.34	/	below		d	III		V7	V		7					Mm7	1	0	0, 4, 1, -2		0.0	0.0	0	6	0.0	0.0	0.875	0.0
14	14	3/4	3/4	4/4	4	1	I6	-0.08	8.34	/	below		d	III		I6	I		6					M	1	0	3, 0, -1		-1.0	3.0	0	5	0.0	0.0	0.75	0.0
15	15	0	0	4/4	4	1	IV(9)	-0.08	8.34	/	below		d	III		IV(9)	IV			9				M	1	0	-2, 2, -1	0	-2.0	-2.0	1	7	0.125	0.125	0.875	0.125
15	15	1/4	1/4	4/4	4	1	IV6	-0.08	8.34	/	below		d	III		IV6	IV		6					M	1	0	2, -1, -2		-2.0	2.0	0	4	0.0	0.0	0.875	0.0
15	15	3/8	3/8	4/4	4	1	I6	-0.08	8.34	/	below		d	III		I6	I		6					M	1	0	3, 0, -1		-1.0	3.0	0	3	0.0	0.0	0.375	0.0
15	15	1/2	1/2	4/4	4	1	IVM7	-0.08	8.34	/	below		d	III		IVM7	IV	M	7					MM7	1	0	-2, 2, -1, 3		-2.0	-2.0	2	3	0.4	0.25	0.5	0.3333333333333333
15	15	3/4	3/4	4/4	4	1	V(4)	-0.08	8.34	/	below		d	III		V(4)	V			4				M	1	0	0, -1, 1		0.0	0.0	0	4	0.0	0.0	0.6875	0.0
15	15	7/8	7/8	4/4	4	1	V	-0.08	8.34	/	below		d	III		V	V							M	1	0	0, 4, 1		0.0	0.0	0	3	0.0	0.0	0.3125	0.0
16	16	0	0	4/4	4	1	I|PAC}{	-0.08	8.34	/	below		d	III		I	I					PAC	}{	M	1	0	-1, 3, 0		-1.0	-1.0	2	4	0.3333333333333333	0.25	0.875	0.2222222222222222
16	16	1/4	1/4	4/4	4	1	I6	-0.08	8.34	/	below		d	III		I6	I		6					M	1	0	3, 0, -1		-1.0	3.0	0	6	0.0	0.0	1.125	0.0
16	16	1/2	1/2	4/4	4	1	V(4)	-0.08	8.34	/	below		d	III		V(4)	V			4				M	1	0	0, -1, 1		0.0	0.0	2	3	0.4	0.25	0.625	0.2857142857142857
16	16	3/4	3/4	4/4	4	1	V6	-0.08	8.34	/	below		d	III		V6	V		6					M	1	0	4, 1, 0		0.0	4.0	0	3	0.0	0.0	0.5	0.0
16	16	7/8	7/8	4/4	4	1	i.V65	-0.08	8.34	/	below		d	i		V65	V		65					Mm7	1	1	7, 4, 1, 3		3.0	7.0	0	4	0.0	0.0	0.375	0.0
17	17	0	0	4/4	4	1	i(2)	-0.08	8.34	/	below		d	i		i(2)	i			2				m	1	1	4, -1, 3		2.0	4.0	2	4	0.3333333333333333	0.25	0.875	0.2222222222222222
17	17	1/4	1/4	4/4	4	1	i6	-0.08	8.34	/	below		d	i		i6	i		6					m	1	1	-1, 3, 2		2.0	-1.0	2	4	0.3333333333333333	0.25	0.875	0.2222222222222222
17	17	1/2	1/2	4/4	4	1	V(4)	-0.08	8.34	/	below		d	i		V(4)	V			4				M	1	1	3, 2, 4		3.0	3.0	0	4	0.0	0.0	1.0	0.0
17	17	3/4	3/4	4/4	4	1	V	-0.08	8.34	/	below		d	i		V	V							M	1	1	3, 7, 4		3.0	3.0	0	4	0.0	0.0	0.75	0.0
18	18	0	0	4/4	4	1	iv6(2)	-0.08	8.34	/	below		d	i		iv6(2)	iv		6	2				m	1	1	-2, 2, 3		1.0	-2.0	0	5	0.0	0.0	1.375	0.0
18	18	1/4	1/4	4/4	4	1	iv6	-0.08	8.34	/	below		d	i		iv6	iv		6					m	1	1	-2, 2, 1		1.0	-2.0	0	1	0.0	0.0	0.5	0.0
18	18	3/8	3/8	4/4	4	1	iio6	-0.08	8.34	/	below		d	i		iio6	ii	o	6					o	1	1	1, -2, 4		4.0	1.0	0	3	0.0	0.0	0.375	0.0
18	18	1/2	1/2	4/4	4	1	V7	-0.08	8.34	/	below		d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3.0	3.0	0	4	0.0	0.0	1.0	0.0
18	18	3/4	3/4	4/4	4	1	V(64)	0.49	8.34	/	below	III+6	d	i		V(64)	V			64				M	1	1	3, 2, -1		3.0	3.0	0	1	0.0	0.0	0.25	0.0
18	18	7/8	7/8	4/4	4	1	i6	-0.08	8.34	/	below		d	i		i6	i		6					m	1	1	-1, 3, 2		2.0	-1.0	0	3	0.0	0.0	0.375	0.0
19	19	0	0	4/4	4	1	bII6	-0.08	8.34	/	below		d	i		bII6	bII		6					M	1	1	1, -2, -3		-3.0	1.0	0	4	0.0	0.0	0.625	0.0
19	19	1/8	1/8	4/4	4	1	V7	-0.08	8.34	/	below		d	i		V7	V		7					Mm7	1	1	3, 7, 4, 1		3.0	3.0	0	3	0.0	0.0	0.375	0.0
19	19	1/4	1/4	4/4	4	1	VI	-0.08	8.34	/	below		d	i		VI	VI							M	1	1	-2, 2, -1		-2.0	-2.0	0	4	0.0	0.0	0.875	0.0
19	19	3/8	3/8	4/4	4	1	ii%65	-0.08	8.34	/	below		d	i		ii%65	ii	%	65					%7	1	1	1, -2, 2, 4		4.0	1.0	0	3	0.0	0.0	0.375	0.0
19	19	1/2	1/2	4/4	4	1	V(64)	-0.08	8.34	/	below		d	i		V(64)	V			64				M	1	1	3, 2, -1		3.0	3.0	2	3	0.4	0.25	0.5	0.3333333333333333
19	19	3/4	3/4	4/4	4	1	V	-0.08	8.34	/	below		d	i		V	V							M	1	1	3, 7, 4		3.0	3.0	0	6	0.0	0.0	1.0	0.0
20	20	0	0	4/4	4	1	i|PAC}	-0.08	8.34	/	below		d	i		i	i					PAC	}	m	1	1	2, -1, 3		2.0	2.0	0	4	0.0	0.0	1.0	0.0
20	20	1/4	1/4	4/4	4	1	iv{	-0.08	8.34	/	below		d	i		iv	iv						{	m	1	1	1, -2, 2		1.0	1.0	0	4	0.0	0.0	1.5	0.0
20	20	1/2	1/2	4/4	4	1	V2	-0.08	8.34	/	below		d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3.0	1.0	0	2	0.0	0.0	0.5	0.0
20	20	3/4	3/4	4/4	4	1	viio7/V	-0.08	8.34	/	below		d	i		viio7/V	vii	o	7		V			o7	1	1	8, 5, 2, -1		8.0	8.0	0	4	0.0	0.0	1.0	0.0
21	21	0	0	4/4	4	1	V(4)	-0.08	8.34	/	below		d	i		V(4)	V			4				M	1	1	3, 2, 4		3.0	3.0	0	4	0.0	0.0	1.75	0.0
21	21	1/4	1/4	4/4	4	1	V	-0.08	8.34	/	below		d	i		V	V							M	1	1	3, 7, 4		3.0	3.0	0	1	0.0	0.0	0.25	0.0
21	21	1/2	1/2	4/4	4	1	i|PAC}	-0.08	8.34	/	below		d	i		i	i					PAC	}	m	1	1	2, -1, 3		2.0	2.0	0	4	0.0	0.0	2.0	0.0
