mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
5	4	25/2	25/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	35								
5	4	10	10	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	36								
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	37								
5	4	10	10	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#		
5	4	10	10	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	38								
5	4	12	12	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	5		
5	4	12	12	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	39								
6	5	13	13	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	40								
6	5	27/2	27/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	41								
6	5	14	14	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	42								
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	43								
6	5	15	15	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	44								
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	45								
6	5	13	13	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	46								
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	47								
6	5	13	13	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	48								
6	5	14	14	0.0	1/4	1/4	FiguredBass	3/4	3	1	0								1/4	6		
6	5	14	14	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	49								
6	5	15	15	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	7	#	
6	5	15	15	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	50								
7	6	16	16	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	51								
7	6	33/2	33/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	52								
7	6	17	17	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	53								
7	6	35/2	35/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	54								
7	6	18	18	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	55								
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	56								
7	6	16	16	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	57								
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	58								
7	6	16	16	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	59								
7	6	18	18	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	60								
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	61								
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	62								
8	7	20	20	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	63								
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	64								
8	7	21	21	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	65								
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	66								
8	7	19	19	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	67								
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	68								
8	7	19	19	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	6		
8	7	19	19	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	69								
8	7	21	21	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6\		
8	7	21	21	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	70								
9	8	22	22	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	71								
9	8	45/2	45/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	72								
9	8	23	23	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	73								
9	8	47/2	47/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	74								
9	8	24	24	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	75								
9	8	49/2	49/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	76								
9	8	22	22	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	77								
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	78								
9	8	22	22	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#		
9	8	22	22	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	79								
9	8	24	24	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6		
9	8	24	24	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	80								
10	9	25	25	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	81								
10	9	51/2	51/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	82								
10	9	26	26	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	83								
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	84								
10	9	27	27	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	85								
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	86								
10	9	25	25	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	87								
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	88								
10	9	25	25	0.0	0	0	FiguredBass	3/4	3	1	0								1/4	#		
10	9	25	25	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	89								
10	9	26	26	0.0	1/4	1/4	FiguredBass	3/4	3	1	0								1/4	6	5	
10	9	26	26	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	90								
10	9	27	27	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	#		
10	9	27	27	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	91								
11	10	28	28	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	92								
11	10	57/2	57/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	93								
11	10	29	29	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	94								
11	10	59/2	59/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	95								
11	10	30	30	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	96								
11	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	97								
11	10	28	28	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	98								
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	99								
11	10	28	28	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#		
11	10	28	28	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	100								
11	10	30	30	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	5		
11	10	30	30	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	101								
12	11	31	31	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	102								
12	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	103								
12	11	32	32	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	104								
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	105								
12	11	33	33	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	106								
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	107								
12	11	31	31	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	108								
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	109								
12	11	31	31	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	110								
12	11	33	33	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6		
12	11	33	33	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	111								
13	12	34	34	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	112								
13	12	69/2	69/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	113								
13	12	35	35	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	114								
13	12	71/2	71/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	115								
13	12	36	36	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	116								
13	12	73/2	73/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	117								
13	12	34	34	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	118								
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	119								
13	12	34	34	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	120								
13	12	36	36	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6		
13	12	36	36	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	121								
14	13	37	37	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	122								
14	13	75/2	75/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	123								
14	13	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	124								
14	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	125								
14	13	39	39	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	126								
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	127								
14	13	37	37	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	128								
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	129								
14	13	37	37	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#		
14	13	37	37	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	130								
14	13	39	39	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6		
14	13	39	39	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	131								
15	14	40	40	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	132								
15	14	81/2	81/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	133								
15	14	41	41	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	134								
15	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	135								
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	136								
15	14	41	41	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	137								
15	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	138								
15	14	40	40	0.0	0	0	FiguredBass	3/4	3	1	0								1/4	6	5	
15	14	40	40	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	139								
15	14	41	41	0.0	1/4	1/4	FiguredBass	3/4	3	1	0								3/8	6	4	
15	14	41	41	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	140								
15	14	42	42	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	141								
15	14	85/2	85/2	0.0	5/8	5/8	FiguredBass	3/4	3	1	0								1/8	#		
16	15	43	43	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	142								
16	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	143								
16	15	45	45	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	144								0
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	145								
16	15	43	43	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	146								
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	147								
16	15	43	43	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	148								
16	15	45	45	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	149								
17	16	46	46	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	150								1
17	16	93/2	93/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	151								
17	16	47	47	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	152								
17	16	97/2	97/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	153								
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	154								
17	16	47	47	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	155								
17	16	97/2	97/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	156								
17	16	46	46	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	157								
17	16	47	47	0.0	1/4	1/4	FiguredBass	3/4	3	1	0								3/8	5	4	
17	16	47	47	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	158								
17	16	97/2	97/2	0.0	5/8	5/8	FiguredBass	3/4	3	1	0								1/8	_	#	
18	17	49	49	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	159								
18	17	49	49	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	160								
18	17	49	49	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	161								
19	17	103/2	103/2	0.5	1/8	5/8	Chord	3/4	1	1	1/8	1/8	1	162								
19	17	103/2	103/2	0.5	1/8	5/8	Chord	3/4	2	1	1/8	1/8	1	163								
19	17	103/2	103/2	0.5	1/8	5/8	Chord	3/4	3	1	1/8	1/8	1	164								
20	18	52	52	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	165								
20	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	166								
20	18	54	54	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	167								
20	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	168								
20	18	52	52	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	169								
20	18	54	54	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	170								
20	18	52	52	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	171								
20	18	54	54	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	172								
21	19	55	55	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	173								
21	19	111/2	111/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	174								
21	19	56	56	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	175								
21	19	113/2	113/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	176								
21	19	57	57	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	177								
21	19	115/2	115/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	178								
21	19	55	55	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	179								
21	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	180								
21	19	55	55	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	6		
21	19	55	55	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	181								
21	19	57	57	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	182								
22	20	58	58	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	183								
22	20	117/2	117/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	184								
22	20	59	59	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	185								
22	20	119/2	119/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	186								
22	20	60	60	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	187								
22	20	121/2	121/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	188								
22	20	58	58	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	189								
22	20	59	59	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	190								
22	20	58	58	0.0	0	0	FiguredBass	3/4	3	1	0								1/4	7		
22	20	58	58	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	191								
22	20	59	59	0.0	1/4	1/4	FiguredBass	3/4	3	1	0								1/2	7	#	
22	20	59	59	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	192								
23	21	61	61	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	193								
23	21	123/2	123/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	194								
23	21	62	62	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	195								
23	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	196								
23	21	63	63	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	197								
23	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	198								
23	21	61	61	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	199								
23	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	200								
23	21	61	61	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#		
23	21	61	61	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	201								
23	21	63	63	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6		
23	21	63	63	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	202								
24	22	64	64	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	203								
24	22	129/2	129/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	204								
24	22	65	65	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	205								
24	22	131/2	131/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	206								
24	22	66	66	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	207								
24	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	208								
24	22	64	64	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	209								
24	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	210								
24	22	64	64	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	211								
24	22	66	66	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6		
24	22	66	66	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	212								
25	23	67	67	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	213								
25	23	135/2	135/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	214								
25	23	68	68	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	215								
25	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	216								
25	23	69	69	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	217								
25	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	218								
25	23	67	67	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	219								
25	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	220								
25	23	67	67	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#		
25	23	67	67	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	221								
25	23	69	69	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6		
25	23	69	69	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	222								
26	24	70	70	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	223								2
26	24	141/2	141/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	224								
26	24	71	71	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	225								
26	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	226								
26	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	227								
26	24	71	71	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	228								
26	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	229								
26	24	70	70	0.0	0	0	FiguredBass	3/4	3	1	0								1/4	7	5	
26	24	70	70	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	230								
26	24	71	71	0.0	1/4	1/4	FiguredBass	3/4	3	1	0								1/8	5	4	
26	24	71	71	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	231								
26	24	72	72	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/8	_		
26	24	72	72	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	232								
26	24	145/2	145/2	0.0	5/8	5/8	FiguredBass	3/4	3	1	0								1/8	_	#	
27	25	73	73	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	233								
27	25	149/2	149/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	234								
27	25	75	75	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	235								
27	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	236								
27	25	73	73	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	237								
27	25	75	75	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	238								
27	25	73	73	0.0	0	0	FiguredBass	3/4	3	1	0								1/2	#		
27	25	73	73	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	239								
27	25	75	75	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6	5	
27	25	75	75	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	240								
28	26	76	76	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	241								3
28	26	153/2	153/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	242								3
28	26	307/4	307/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	243								
28	26	77	77	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	244								
28	26	155/2	155/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	245								
28	26	78	78	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	246								
28	26	157/2	157/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	247								
28	26	76	76	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	248								
28	26	78	78	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	249								
28	26	76	76	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	250								
28	26	78	78	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6		
28	26	78	78	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	251								
29	27	79	79	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	252								4
29	27	159/2	159/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	253								4
29	27	319/4	319/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	254								
29	27	80	80	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	255								
29	27	161/2	161/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	256								
29	27	81	81	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	257								
29	27	163/2	163/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	258								
29	27	79	79	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	259								
29	27	81	81	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	260								
29	27	79	79	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	261								
29	27	81	81	0.0	1/2	1/2	FiguredBass	3/4	3	1	0								1/4	6		
29	27	81	81	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	262								
30	28	82	82	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	263								5
