mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
12	12	35	35	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	106							
13	13	36	36	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	107							
13	13	37	37	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	108							
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	109							
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	110							
13	13	37	37	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	111							
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	112							
13	13	36	36	0.0	0	0	FiguredBass	3/4	3	1	0							1/4	6		
13	13	36	36	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	113							
13	13	37	37	0.0	1/4	1/4	FiguredBass	3/4	3	1	0							1/2	_		
13	13	37	37	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	114							
14	14	39	39	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	115							
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	116							
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	117							
14	14	39	39	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	118							
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	119							
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	120							
14	14	39	39	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	121							
14	14	41	41	0.0	1/2	1/2	FiguredBass	3/4	3	1	0							1/4	6	#4	
14	14	41	41	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	122							
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	123							
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	124							
15	15	43	43	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	125							
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	126							
15	15	42	42	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	127							
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	128							
15	15	43	43	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	129							
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	130							
15	15	42	42	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	131							
15	15	43	43	0.0	1/4	1/4	FiguredBass	3/4	3	1	0							3/8	5	4	
15	15	43	43	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	132							
15	15	89/2	89/2	0.0	5/8	5/8	FiguredBass	3/4	3	1	0							1/8	_	#	
16	16	45	45	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	133							
16	16	45	45	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	134							
16	16	45	45	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	135							
