mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1
37	37	109	109	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	304		
37	37	219/2	219/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	305		
37	37	110	110	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	306		
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	307		
37	37	108	108	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	308		
37	37	217/2	217/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	309		
37	37	109	109	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	310		
37	37	219/2	219/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	311		
37	37	110	110	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	312		
37	37	221/2	221/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	313		
37	37	108	108	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	314		
37	37	108	108	3.0	0	0	Chord	6/8	4	1	3/4	1/2	3/2	315		
38	38	111	111	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	316		
38	38	223/2	223/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	317		
38	38	112	112	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	318		
38	38	225/2	225/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	319		
38	38	113	113	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	320		
38	38	227/2	227/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	321		
38	38	111	111	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	322		
38	38	223/2	223/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	323		
38	38	112	112	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	324		
38	38	225/2	225/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	325		
38	38	113	113	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	326		
38	38	227/2	227/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	327		
38	38	111	111	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	328		
38	38	111	111	3.0	0	0	Chord	6/8	4	1	3/4	1/2	3/2	329		
39	39	114	114	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	330		
39	39	229/2	229/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	331		
39	39	115	115	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	332		
39	39	231/2	231/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	333		
39	39	116	116	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	334		
39	39	233/2	233/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	335		
39	39	114	114	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	336		
39	39	229/2	229/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	337		
39	39	115	115	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	338		
39	39	231/2	231/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	339		
39	39	116	116	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	340		
39	39	233/2	233/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	341		
39	39	114	114	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	342		
39	39	114	114	3.0	0	0	Chord	6/8	4	1	3/4	1/2	3/2	343		
40	40	117	117	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	344		
40	40	235/2	235/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	345		
40	40	118	118	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	346		
40	40	237/2	237/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	347		
40	40	119	119	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	348		
40	40	239/2	239/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	349		
40	40	117	117	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	350		
40	40	235/2	235/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	351		
40	40	118	118	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	352		
40	40	237/2	237/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	353		
40	40	119	119	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	354		
40	40	239/2	239/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	355		
40	40	117	117	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	356		
40	40	117	117	3.0	0	0	Chord	6/8	4	1	3/4	1/2	3/2	357		
41	41	120	120	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	358		
41	41	241/2	241/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	359		
41	41	121	121	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	360		
41	41	243/2	243/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	361		
41	41	122	122	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	362		
41	41	245/2	245/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	363		
41	41	120	120	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	364		
41	41	241/2	241/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	365		
41	41	121	121	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	366		
41	41	243/2	243/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	367		
41	41	122	122	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	368		
41	41	245/2	245/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	369		
41	41	120	120	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	370		
41	41	120	120	3.0	0	0	Chord	6/8	4	1	3/4	1/2	3/2	371		
