mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
6	6	34	34	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	51					
6	6	30	30	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	6	5	
6	6	30	30	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	52					
6	6	32	32	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	53					
6	6	34	34	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	54					
7	7	36	36	4.0	0	0	Chord	3/2	1	1	1	1	1	55					
7	7	40	40	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	56					
7	7	36	36	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	57					
7	7	38	38	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	58					
7	7	40	40	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	59					
7	7	38	38	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	60					
7	7	40	40	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	61					
7	7	38	38	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	62					
7	7	40	40	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	6		
7	7	40	40	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	63					
8	8	42	42	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	64					1
8	8	43	43	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	65					
8	8	44	44	4.0	1/2	1/2	Chord	3/2	1	1	1	1	1	66					
8	8	42	42	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	67					
8	8	44	44	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	68	ornamentTrill				
8	8	47	47	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	69					
8	8	42	42	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	70					
8	8	44	44	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	71					
8	8	46	46	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	72					
8	8	42	42	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	6	5	
8	8	42	42	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	73					
8	8	44	44	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	5	4	
8	8	44	44	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	74					
8	8	46	46	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	3		
8	8	46	46	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	75					
9	9	48	48	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	76					
9	9	50	50	1.0	1/2	1/2	Chord	3/2	1	1	1/4	1/4	1	77					2
9	9	51	51	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	78					
9	9	52	52	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	79					
9	9	48	48	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	80					
9	9	50	50	1.0	1/2	1/2	Chord	3/2	2	1	1/4	1/4	1	81					3
9	9	51	51	1.0	3/4	3/4	Chord	3/2	2	1	1/4	1/4	1	82					
9	9	52	52	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	83					
9	9	48	48	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	84					
9	9	50	50	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	85					
9	9	52	52	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	86					
9	9	48	48	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	87					
9	9	50	50	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	88					
9	9	52	52	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	89					
10	10	56	56	1.0	1/2	1/2	Chord	3/2	1	1	1/4	1/4	1	90					4
10	10	57	57	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	91					
10	10	58	58	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	92					
10	10	56	56	1.0	1/2	1/2	Chord	3/2	2	1	1/4	1/4	1	93					5
10	10	57	57	1.0	3/4	3/4	Chord	3/2	2	1	1/4	1/4	1	94					
10	10	58	58	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	95					
10	10	54	54	4.0	0	0	Chord	3/2	3	1	1	1	1	96					
10	10	58	58	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	97					
10	10	54	54	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	9	5	
10	10	54	54	4.0	0	0	Chord	3/2	4	1	1	1	1	98					
10	10	56	56	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	8	6	
10	10	58	58	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	99					
11	11	62	62	1.0	1/2	1/2	Chord	3/2	1	1	1/4	1/4	1	100					6
11	11	63	63	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	101					
11	11	64	64	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	102					
11	11	62	62	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	103					
11	11	64	64	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	104					
11	11	60	60	4.0	0	0	Chord	3/2	3	1	1	1	1	105					
11	11	64	64	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	106					
11	11	60	60	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	7		
11	11	60	60	4.0	0	0	Chord	3/2	4	1	1	1	1	107					
11	11	62	62	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	6		
11	11	64	64	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	6		
11	11	64	64	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	108					
12	12	66	66	4.0	0	0	Chord	3/2	1	1	1	1	1	109					
12	12	70	70	1.0	1	1	Chord	3/2	1	1	1/4	1/4	1	110					7
12	12	71	71	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	111					
12	12	66	66	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	112					
12	12	68	68	1.0	1/2	1/2	Chord	3/2	2	1	1/4	1/4	1	113					8
12	12	69	69	1.0	3/4	3/4	Chord	3/2	2	1	1/4	1/4	1	114					
12	12	70	70	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	115					
12	12	66	66	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	116					
12	12	68	68	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	117					
12	12	70	70	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	118					
12	12	66	66	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	6	5	
12	12	66	66	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	119					
12	12	68	68	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	5		
12	12	68	68	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	120					
12	12	70	70	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	121					
13	13	72	72	4.0	0	0	Chord	3/2	1	1	1	1	1	122					
13	13	76	76	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	123					
13	13	72	72	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	124					
13	13	74	74	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	125					
13	13	76	76	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	126					
13	13	72	72	4.0	0	0	Chord	3/2	3	1	1	1	1	127					
13	13	76	76	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	128					
13	13	72	72	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	9		
13	13	72	72	4.0	0	0	Chord	3/2	4	1	1	1	1	129					
13	13	74	74	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	8		
13	13	76	76	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	130					
14	14	78	78	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	131					
14	14	80	80	4.0	1/2	1/2	Chord	3/2	1	1	1	1	1	132					
14	14	78	78	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	133					
14	14	80	80	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	134					
14	14	82	82	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	135					
14	14	78	78	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	136					
14	14	80	80	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	137					
14	14	82	82	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	138					
14	14	78	78	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	7	#	
14	14	78	78	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	139					
14	14	80	80	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	5		
14	14	80	80	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	140					
14	14	82	82	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	6\	5	
14	14	82	82	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	141					
15	15	84	84	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	142					
15	15	86	86	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	143	ornamentTrill				
15	15	89	89	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	144					
15	15	84	84	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	145					
15	15	86	86	4.0	1/2	1/2	Chord	3/2	2	1	1	1	1	146					
15	15	84	84	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	147					
15	15	86	86	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	148					
15	15	84	84	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	6	4	
15	15	84	84	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	149					
15	15	86	86	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					7/8	5\	4	
15	15	86	86	4.0	1/2	1/2	Chord	3/2	4	1	1	1	1	150					
16	16	90	90	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	151					
16	16	92	92	4.0	1/2	1/2	Chord	3/2	1	1	1	1	1	152					
16	16	90	90	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	153					
16	16	92	92	4.0	1/2	1/2	Chord	3/2	2	1	1	1	1	154					
16	16	90	90	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	155					
16	16	92	92	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	156					
16	16	94	94	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	157					
16	16	92	92	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	158					
16	16	94	94	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	159					
17	17	96	96	6.0	0	0	Chord	3/2	1	1	3/2	1	3/2	160					
17	17	96	96	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	161					
17	17	98	98	4.0	1/2	1/2	Chord	3/2	2	1	1	1	1	162					
17	17	96	96	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	163					
17	17	98	98	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	164					
17	17	100	100	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	165					
17	17	96	96	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	9		
17	17	96	96	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	166					
17	17	98	98	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	5		
17	17	98	98	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	167					
17	17	100	100	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	7		
17	17	100	100	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	168					
18	18	102	102	6.0	0	0	Chord	3/2	1	1	3/2	1	3/2	169					
18	18	102	102	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	170					
18	18	104	104	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	171					
18	18	106	106	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	172					
18	18	102	102	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	173					
18	18	104	104	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	174					
18	18	106	106	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	175					
18	18	102	102	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	9		
18	18	102	102	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	176					
18	18	104	104	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	8		
18	18	104	104	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	177					
18	18	106	106	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	6		
18	18	106	106	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	178					
19	19	108	108	6.0	0	0	Chord	3/2	1	1	3/2	1	3/2	179					
19	19	108	108	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	180					
19	19	110	110	4.0	1/2	1/2	Chord	3/2	2	1	1	1	1	181					
19	19	108	108	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	182					
19	19	110	110	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	183					
19	19	112	112	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	184					
19	19	108	108	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	6	5	
19	19	108	108	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	185					
19	19	110	110	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	5		
19	19	110	110	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	186					
19	19	112	112	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	#		
19	19	112	112	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	187					
20	20	114	114	4.0	0	0	Chord	3/2	1	1	1	1	1	188					
20	20	118	118	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	189					
20	20	114	114	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	190					
20	20	116	116	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	191					
20	20	118	118	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	192					
20	20	114	114	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	193					
20	20	116	116	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	194					
20	20	118	118	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	195					
20	20	114	114	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	9		
20	20	114	114	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	196					
20	20	116	116	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	8		
20	20	116	116	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	197					
20	20	118	118	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	6		
20	20	118	118	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	198					
21	21	120	120	4.0	0	0	Chord	3/2	1	1	1	1	1	199					
21	21	124	124	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	200					
21	21	120	120	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	201					
21	21	122	122	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	202					
21	21	124	124	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	203					
21	21	120	120	6.0	0	0	Chord	3/2	3	1	3/2	1	3/2	204					
21	21	120	120	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	9	#	
21	21	120	120	6.0	0	0	Chord	3/2	4	1	3/2	1	3/2	205					
21	21	122	122	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1	8		
22	22	126	126	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	206					
22	22	128	128	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	207					
22	22	130	130	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	208					
22	22	126	126	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	209					
22	22	128	128	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	210					
22	22	130	130	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	211					
22	22	126	126	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	212					
22	22	128	128	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	213					
22	22	130	130	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	214					
22	22	126	126	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	7	#	
22	22	126	126	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	215					
22	22	128	128	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	5		
22	22	128	128	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	216					
22	22	130	130	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	6	5	
22	22	130	130	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	217					
23	23	132	132	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	218					
23	23	134	134	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	219	ornamentTrill				
23	23	137	137	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	220					
23	23	132	132	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	221					
23	23	134	134	4.0	1/2	1/2	Chord	3/2	2	1	1	1	1	222					
23	23	132	132	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	223					
23	23	134	134	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	224					
23	23	132	132	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	6	4	
23	23	132	132	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	225					
23	23	134	134	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					3/4	5	4	
23	23	134	134	4.0	1/2	1/2	Chord	3/2	4	1	1	1	1	226					
23	23	137	137	0.0	5/4	5/4	FiguredBass	3/2	4	1	0					1/4	#		
24	24	138	138	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	227					
24	24	140	140	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	228					
24	24	142	142	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	229					
24	24	138	138	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	230					
24	24	140	140	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	231					
24	24	142	142	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	232					
24	24	138	138	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	233					
24	24	140	140	2.0	1/2	1/2	Chord	3/2	3	1	1/2	1/2	1	234					
24	24	142	142	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	235					
24	24	138	138	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	236					
24	24	140	140	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	6		
24	24	140	140	2.0	1/2	1/2	Chord	3/2	4	1	1/2	1/2	1	237					
24	24	142	142	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	6		
24	24	142	142	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	238					
25	25	146	146	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	239					
25	25	148	148	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	240					
25	25	146	146	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	241					
25	25	148	148	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	242					
25	25	144	144	4.0	0	0	Chord	3/2	3	1	1	1	1	243					
25	25	148	148	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	244					
25	25	144	144	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	7		
25	25	144	144	4.0	0	0	Chord	3/2	4	1	1	1	1	245					
25	25	146	146	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	6		
25	25	148	148	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	6		
25	25	148	148	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	246					
26	26	152	152	2.0	1/2	1/2	Chord	3/2	1	1	1/2	1/2	1	247					
26	26	154	154	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	248					
26	26	152	152	2.0	1/2	1/2	Chord	3/2	2	1	1/2	1/2	1	249					
26	26	154	154	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	250					
26	26	150	150	4.0	0	0	Chord	3/2	3	1	1	1	1	251					
26	26	154	154	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	252					
26	26	150	150	0.0	0	0	FiguredBass	3/2	4	1	0					1/2	7		
26	26	150	150	4.0	0	0	Chord	3/2	4	1	1	1	1	253					
26	26	152	152	0.0	1/2	1/2	FiguredBass	3/2	4	1	0					1/2	b6		
26	26	154	154	0.0	1	1	FiguredBass	3/2	4	1	0					1/2	6		
26	26	154	154	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	254					
27	27	156	156	4.0	0	0	Chord	3/2	1	1	1	1	1	255					
27	27	160	160	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	256					
27	27	156	156	4.0	0	0	Chord	3/2	2	1	1	1	1	257					
27	27	160	160	2.0	1	1	Chord	3/2	2	1	1/2	1/2	1	258					
27	27	156	156	4.0	0	0	Chord	3/2	3	1	1	1	1	259					
27	27	160	160	2.0	1	1	Chord	3/2	3	1	1/2	1/2	1	260					
27	27	156	156	0.0	0	0	FiguredBass	3/2	4	1	0					1	6\		
27	27	156	156	4.0	0	0	Chord	3/2	4	1	1	1	1	261					
27	27	160	160	2.0	1	1	Chord	3/2	4	1	1/2	1/2	1	262					
28	28	162	162	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	263					
28	28	164	164	4.0	1/2	1/2	Chord	3/2	1	1	1	1	1	264					
28	28	162	162	2.0	0	0	Chord	3/2	2	1	1/2	1/2	1	265					
28	28	164	164	3.0	1/2	1/2	Chord	3/2	2	1	3/4	1/2	3/2	266					
28	28	167	167	1.0	5/4	5/4	Chord	3/2	2	1	1/4	1/4	1	267					
28	28	162	162	2.0	0	0	Chord	3/2	3	1	1/2	1/2	1	268					
28	28	164	164	4.0	1/2	1/2	Chord	3/2	3	1	1	1	1	269					
28	28	162	162	2.0	0	0	Chord	3/2	4	1	1/2	1/2	1	270					
