mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
7	7	20	20	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	37									
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	38									0
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	39									
8	8	22	22	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	40									
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	41									
8	8	21	21	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	42									
8	8	22	22	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	43	ornamentPrecompMordentUpperPrefix								
8	8	47/2	47/2	0.25	5/8	5/8	Chord	3/4	2	1	1/16	1/16	1	44									
8	8	95/4	95/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16	1/16	1	45									
8	8	21	21	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	6	5	
8	8	21	21	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	46									
8	8	22	22	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/4	#		
8	8	22	22	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	47									
8	8	23	23	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	48									
9	9	24	24	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	49									
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	50									
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	51									
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	52									
9	9	24	24	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	53									
9	9	25	25	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	54									
10	10	28	28	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	55									
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	56									
10	10	27	27	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	57									
10	10	27	27	0.0	0	0	FiguredBass	3/4	3	1	0									3/4	6		
10	10	27	27	3.0	0	0	Chord	3/4	3	1	3/4	1/2	3/2	58									
11	11	30	30	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	59									
11	11	31	31	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	60									
11	11	32	32	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	61									
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	62									
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	63									
11	11	30	30	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	7		
11	11	30	30	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	64									
11	11	31	31	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/4	5		
11	11	31	31	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	65									
11	11	32	32	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	7	#	
11	11	32	32	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	66									
12	12	33	33	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	67	ornamentPrecompMordentUpperPrefix								1
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	68									
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	69	ornamentPrecompMordentUpperPrefix								2
12	12	34	34	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	70									
12	12	33	33	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	9	4	
12	12	33	33	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	71									
12	12	34	34	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/4	8	#	
12	12	34	34	1.0	1/4	1/4	Chord	3/4	3	1	1/4	1/4	1	72									
12	12	35	35	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	4+	2	
12	12	35	35	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	73									
13	13	37	37	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	74									
13	13	38	38	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	75									
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	76									
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	77									
13	13	36	36	0.0	0	0	FiguredBass	3/4	3	1	0									1/2	6		
13	13	36	36	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	78									
13	13	38	38	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	79									
14	14	39	39	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	80									
14	14	40	40	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	81									
14	14	41	41	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	82									
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	83	ornamentPrecompMordentUpperPrefix								
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	84									
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	85									
14	14	39	39	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	9		
14	14	39	39	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	86									
14	14	40	40	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/4	8	6	
14	14	41	41	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	87									
15	15	42	42	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	88									
15	15	43	43	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	89									
15	15	44	44	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	90									
15	15	42	42	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	91									
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	92									
15	15	42	42	0.0	0	0	FiguredBass	3/4	3	1	0									1/2	7	#	
15	15	42	42	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	93									
15	15	44	44	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	6		
15	15	44	44	1.0	1/2	1/2	Chord	3/4	3	1	1/4	1/4	1	94									
16	16	45	45	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	95									
16	16	46	46	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	96									
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	97									
16	16	45	45	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	98									3
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	99									
16	16	46	46	1.5	1/4	1/4	Chord	3/4	2	1	3/8	1/4	3/2	100									
16	16	95/2	95/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	101									
16	16	45	45	0.0	0	0	FiguredBass	3/4	3	1	0									1/4	6	5	
16	16	45	45	1.0	0	0	Chord	3/4	3	1	1/4	1/4	1	102									
16	16	46	46	0.0	1/4	1/4	FiguredBass	3/4	3	1	0									1/4	5	4	
16	16	46	46	2.0	1/4	1/4	Chord	3/4	3	1	1/2	1/2	1	103									
16	16	47	47	0.0	1/2	1/2	FiguredBass	3/4	3	1	0									1/4	#		
17	17	48	48	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	104									
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	105									
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	106									
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	107									
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	108									
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	109									
17	17	48	48	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	110									
17	17	48	48	0.0	0	0	StaffText	3/4	3	1	0					Allegro 							
17	17	48	48	2.0	0	0	Chord	3/4	3	1	1/2	1/2	1	111									
